file,speaker,duration,transcription,vocal channel
songs/actor_06/03-02-04-02-02-01-06.wav,06,4304291667,Dogs are sitting by the door,song
songs/actor_06/03-02-02-02-01-01-06.wav,06,5605583333,Kids are talking by the door,song
songs/actor_06/03-02-03-02-01-02-06.wav,06,4637979167,Kids are talking by the door,song
songs/actor_06/03-02-06-01-02-01-06.wav,06,4437770833,Dogs are sitting by the door,song
songs/actor_06/03-02-06-02-01-02-06.wav,06,4204208333,Kids are talking by the door,song
songs/actor_06/03-02-04-02-01-02-06.wav,06,4337666667,Kids are talking by the door,song
songs/actor_06/03-02-02-01-01-01-06.wav,06,5171833333,Kids are talking by the door,song
songs/actor_06/03-02-04-01-01-01-06.wav,06,5138458333,Kids are talking by the door,song
songs/actor_06/03-02-02-02-01-02-06.wav,06,6339666667,Kids are talking by the door,song
songs/actor_06/03-02-01-01-01-02-06.wav,06,4804812500,Kids are talking by the door,song
songs/actor_06/03-02-03-02-02-02-06.wav,06,4070729167,Dogs are sitting by the door,song
songs/actor_06/03-02-01-01-01-01-06.wav,06,4671333333,Kids are talking by the door,song
songs/actor_06/03-02-02-02-02-01-06.wav,06,5405416667,Dogs are sitting by the door,song
songs/actor_06/03-02-02-01-02-02-06.wav,06,5338666667,Dogs are sitting by the door,song
songs/actor_06/03-02-06-02-02-02-06.wav,06,4204208333,Dogs are sitting by the door,song
songs/actor_06/03-02-05-02-01-01-06.wav,06,4504499999,Kids are talking by the door,song
songs/actor_06/03-02-04-01-02-02-06.wav,06,5138458333,Dogs are sitting by the door,song
songs/actor_06/03-02-03-02-01-01-06.wav,06,4504499999,Kids are talking by the door,song
songs/actor_06/03-02-05-02-01-02-06.wav,06,4504499999,Kids are talking by the door,song
songs/actor_06/03-02-03-01-02-02-06.wav,06,4537875000,Dogs are sitting by the door,song
songs/actor_06/03-02-05-02-02-01-06.wav,06,4471125000,Dogs are sitting by the door,song
songs/actor_06/03-02-05-01-01-01-06.wav,06,4137458333,Kids are talking by the door,song
songs/actor_06/03-02-02-01-02-01-06.wav,06,5372041667,Dogs are sitting by the door,song
songs/actor_06/03-02-04-02-02-02-06.wav,06,4437770833,Dogs are sitting by the door,song
songs/actor_06/03-02-05-01-02-01-06.wav,06,4404395833,Dogs are sitting by the door,song
songs/actor_06/03-02-04-02-01-01-06.wav,06,4537875000,Kids are talking by the door,song
songs/actor_06/03-02-06-01-01-02-06.wav,06,4671333333,Kids are talking by the door,song
songs/actor_06/03-02-04-01-01-02-06.wav,06,5038375000,Kids are talking by the door,song
songs/actor_06/03-02-03-01-01-01-06.wav,06,4838166667,Kids are talking by the door,song
songs/actor_06/03-02-03-01-01-02-06.wav,06,4604604167,Kids are talking by the door,song
songs/actor_06/03-02-02-01-01-02-06.wav,06,5405395833,Kids are talking by the door,song
songs/actor_06/03-02-06-02-02-01-06.wav,06,4137458333,Dogs are sitting by the door,song
songs/actor_06/03-02-05-01-01-02-06.wav,06,4170833333,Kids are talking by the door,song
songs/actor_06/03-02-03-02-02-01-06.wav,06,4137458333,Dogs are sitting by the door,song
songs/actor_06/03-02-04-01-02-01-06.wav,06,5071750000,Dogs are sitting by the door,song
songs/actor_06/03-02-01-01-02-02-06.wav,06,4537875000,Dogs are sitting by the door,song
songs/actor_06/03-02-03-01-02-01-06.wav,06,4471125000,Dogs are sitting by the door,song
songs/actor_06/03-02-06-01-01-01-06.wav,06,4637958333,Kids are talking by the door,song
songs/actor_06/03-02-01-01-02-01-06.wav,06,4637958333,Dogs are sitting by the door,song
songs/actor_06/03-02-06-01-02-02-06.wav,06,4504499999,Dogs are sitting by the door,song
songs/actor_06/03-02-06-02-01-01-06.wav,06,4237562500,Kids are talking by the door,song
songs/actor_06/03-02-02-02-02-02-06.wav,06,5572229167,Dogs are sitting by the door,song
songs/actor_06/03-02-05-01-02-02-06.wav,06,4471145833,Dogs are sitting by the door,song
songs/actor_06/03-02-05-02-02-02-06.wav,06,4504499999,Dogs are sitting by the door,song
songs/actor_07/03-02-02-02-02-02-07.wav,07,5105104167,Dogs are sitting by the door,song
songs/actor_07/03-02-03-01-02-02-07.wav,07,4371041667,Dogs are sitting by the door,song
songs/actor_07/03-02-06-01-01-01-07.wav,07,4237583333,Kids are talking by the door,song
songs/actor_07/03-02-05-02-01-02-07.wav,07,4504499999,Kids are talking by the door,song
songs/actor_07/03-02-06-02-01-01-07.wav,07,4170833333,Kids are talking by the door,song
songs/actor_07/03-02-04-01-01-02-07.wav,07,4637979167,Kids are talking by the door,song
songs/actor_07/03-02-03-01-02-01-07.wav,07,4337666667,Dogs are sitting by the door,song
songs/actor_07/03-02-04-02-01-02-07.wav,07,4904895833,Kids are talking by the door,song
songs/actor_07/03-02-03-01-01-01-07.wav,07,4270937500,Kids are talking by the door,song
songs/actor_07/03-02-01-01-02-02-07.wav,07,4404395833,Dogs are sitting by the door,song
songs/actor_07/03-02-04-01-01-01-07.wav,07,4504499999,Kids are talking by the door,song
songs/actor_07/03-02-02-01-02-01-07.wav,07,4738062500,Dogs are sitting by the door,song
songs/actor_07/03-02-03-02-01-01-07.wav,07,4270937500,Kids are talking by the door,song
songs/actor_07/03-02-04-02-02-01-07.wav,07,4971645833,Dogs are sitting by the door,song
songs/actor_07/03-02-05-01-02-01-07.wav,07,4571250000,Dogs are sitting by the door,song
songs/actor_07/03-02-02-01-02-02-07.wav,07,4704708333,Dogs are sitting by the door,song
