file,speaker,transcription
audio/1614951631538.wav,d4bbc5043503b9aed309ede00854ee48937684b57a1cc030ee5f42986fbfed7c,s0
audio/1613671614352.wav,b830cbf6e79aeeeec1fbf2ef3be741628ffc574c9b15f30634b8e8cc56bd17b9,s1
audio/1613994293936.wav,acdd987f9c1700b25898d3bd30c201df5ad4f34b3ca5ebeb7a8f02d240eeb864,s2
audio/1617135480050.wav,28043d2516f2d956b81ce66cc01fbd427ac54ff1eb3a07dae906e9be50a92024,s0
audio/1613658275427.wav,5b8476bb94a4a1a17df32b417ec035029f48e4487c9055203fb02353eccd46a1,s3
audio/1613562322650.wav,4627bdb3ed141168a5e8663c86bfae205566c5bd27779a19c8d83791df8c9474,s4
audio/1613324357435.wav,f78d765ec69ed2306cf544ae70b352f27ac00ced795ad5a4014e480d6f653395,s1
audio/1614274086698.wav,33fae0227059f08853c11257fe73f4976d4527614588b9b30289c213fea025c9,s5
audio/1612982146424.wav,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,s0
audio/1613493366347.wav,9168b364a8f5456e8e2a5f2666ae4c0541fafe4bf87cdd15f4ad13b3459dd23a,s6
audio/1613378571270.wav,e7d486b923ff5d70ab28d1f0383f613f4e2d4e02514966f3ff6cdc7446b2f3cd,s0
audio/1614358680245.wav,2dcd7cd5193e3cf64ec3bedf3bcdf4b8e91acf472550053bf6c6436bb9871b08,s7
audio/1613467075686.wav,4aa97df0f04f62f7f564695f551e2f7f0c38fa4a9ced680b5f5e2e403648fcca,s0
audio/1613472729970.wav,f8710902ce31a673185ffd93d3140f32bea4098fee10e39532557626b4d05efb,s1
audio/1613586149044.wav,0ec8b058931916615ae00bce3d91a997ae440eb9d51ac35d26456a51695036d7,s8
audio/1614274175492.wav,33fae0227059f08853c11257fe73f4976d4527614588b9b30289c213fea025c9,s9
audio/1614266094803.wav,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,s8
audio/1616149732681.wav,da69a545ccd6500d3d5ef76d48c097ac794b42b4570edd2eb00e539c0667ce10,s6
audio/1613405836816.wav,415eb3920eb4b3d4645eb42bae62fd32cdd3e731c2662cbb0d480c3792b43066,s7
audio/1614278852934.wav,5dfd46e27a5e3e8e06fcb92817b0955f7fd28048f5003bfd4e5be8e67bf417db,s5
audio/1615229375102.wav,253387e8620ee1896c76809782406e139bce35860aaa0d61991965319ba0dc32,s8
audio/1614080693522.wav,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,s1
audio/1613832224152.wav,509ce83c88888f7d75edabc19670ab07530413773ce7be5c2aee2a6b98638de7,s4
audio/1614409808909.wav,7a49d0e37774f8a5296044c04481158b1264d9f7b9a2029223f5c4b139418860,s10
audio/1613824074999.wav,bf4fccd616251b678c56b9cb7a46819b1266853c180637642f5bc7d6b01f5554,s10
audio/1617135448748.wav,28043d2516f2d956b81ce66cc01fbd427ac54ff1eb3a07dae906e9be50a92024,s3
audio/1614241720253.wav,5e05cb515b5e6aee84325a8ceeb28a92c2d8d01c6b0f4bb0e743bd04ece7557e,s9
